PLD (Å),LCD (Å),LCD/PLD,Sacc (m2/g),Porosity,Pore Volume (cm3/g),Qst-N2 (kJ/mol),%C,%H,%N,%O,%Metalloid,%Halogen,%Ametal,LOG(DN2 - INF),LOG(DN2 - 1 bar)
31.38514,31.68082,1.009421019,2277.34,0.77402,1.591795268,6.71E+00,58.13953488,32.55813953,4.651162791,0,0,0,4.651162791,-2.8648,-2.79689
23.42764,23.68646,1.011047634,1782.64,0.72634,1.207527722,7.78E+00,50,30.76923077,0,11.53846154,3.846153846,0,3.846153846,-2.82831,-2.84607
7.49194,8.42477,1.124511141,5204.86,0.77266,1.765232688,6.27E+00,47.82608696,43.47826087,8.695652174,0,0,0,0,-3.17763,-3.1908
7.37376,8.49886,1.152581587,4304.48,0.7488,1.435516771,7.03E+00,44,40,8,8,0,0,0,-3.27321,-3.31006
31.32681,31.50293,1.005622022,2056.26,0.73294,1.433130111,5.77E+00,56.98924731,36.55913978,6.451612903,0,0,0,0,-2.80122,-2.80344
9.73082,11.35144,1.16654506,3488.17,0.71632,1.31935734,9.10E+00,56.98924731,36.55913978,6.451612903,0,0,0,0,-3.76336,-3.7819
8.981,9.50439,1.058277475,1091.97,0.50322,0.557093134,8.76E+00,50,37.5,6.25,0,6.25,0,0,-3.0653,-3.07926
15.93388,16.0767,1.008963291,2731.74,0.72326,1.348872427,7.23E+00,56.06060606,36.36363636,7.575757576,0,0,0,0,-3.39284,-3.34472
15.87921,16.17243,1.018465654,1425.81,0.62994,0.807050449,7.21E+00,56.52173913,26.08695652,4.347826087,8.695652174,4.347826087,0,0,-2.91039,-3.18313
35.2441,35.39294,1.004223118,1897.75,0.79356,1.881307594,4.92E+00,53.57142857,32.14285714,3.571428571,7.142857143,3.571428571,0,0,-2.48343,-2.6701
32.73607,32.90312,1.005102934,1910.99,0.78096,1.758720865,5.58E+00,51.61290323,35.48387097,3.225806452,6.451612903,3.225806452,0,0,-2.59849,-2.78602
8.53533,9.02441,1.057300655,928.833,0.4902,0.470400829,9.41E+00,50,28.57142857,7.142857143,7.142857143,7.142857143,0,0,-2.92721,-2.98653
8.54051,9.02697,1.056959128,907.124,0.48356,0.462515543,9.45E+00,50,28.57142857,7.142857143,7.142857143,7.142857143,0,0,-2.92474,-3.10256
10.6911,11.33366,1.060102328,1450.41,0.57354,0.725232539,8.38E+00,47.6635514,47.6635514,3.738317757,0,0.934579439,0,0,-2.7373,-2.98732
