PLD (Å),LCD (Å),LCD/PLD,Sacc (m2/g),Porosity,Pore Volume (cm3/g),Qst-H2 (kJ/mol),%C,%H,%N,%O,%Metalloid,%Halogen,%Ametal,LOG(DH2 - INF),LOG(DH2 - 1 bar)
21.54252,21.84179,1.013892061,2043.69,0.7174,1.251017956,1.78E+00,60.71428571,32.14285714,3.571428571,0,0,0,3.571428571,-1.99442,-2.10738
15.58649,15.79013,1.013065161,1927.2,0.68516,1.108194356,2.00E+00,59.52380952,35.71428571,4.761904762,0,0,0,0,-2.14044,-2.10153
22.49727,22.82201,1.01443464,2287.09,0.75268,1.574407202,1.57E+00,58.18181818,36.36363636,5.454545455,0,0,0,0,-2.05093,-2.27883
13.84176,14.11905,1.020032857,1836.85,0.6642,1.008899643,2.19E+00,59.52380952,35.71428571,4.761904762,0,0,0,0,-2.57988,-2.56233
29.88783,30.08263,1.006517703,1741.96,0.7759,1.544642128,1.51E+00,57.89473684,21.05263158,0,10.52631579,5.263157895,0,5.263157895,-1.91459,-1.90406
31.38514,31.68082,1.009421019,2277.34,0.77402,1.591795268,1.80E+00,58.13953488,32.55813953,4.651162791,0,0,0,4.651162791,-2.00156,-1.97991
23.42764,23.68646,1.011047634,1782.64,0.72634,1.207527722,1.98E+00,50,30.76923077,0,11.53846154,3.846153846,0,3.846153846,-1.91463,-2.02908
7.49194,8.42477,1.124511141,5204.86,0.77266,1.765232688,2.41E+00,47.82608696,43.47826087,8.695652174,0,0,0,0,-2.50962,-2.52388
7.37376,8.49886,1.152581587,4304.48,0.7488,1.435516771,2.65E+00,44,40,8,8,0,0,0,-2.60639,-2.60957
31.32681,31.50293,1.005622022,2056.26,0.73294,1.433130111,1.61E+00,56.98924731,36.55913978,6.451612903,0,0,0,0,-1.99415,-2.25636
9.73082,11.35144,1.16654506,3488.17,0.71632,1.31935734,3.50E+00,56.98924731,36.55913978,6.451612903,0,0,0,0,-2.81835,-2.88552
8.981,9.50439,1.058277475,1091.97,0.50322,0.557093134,3.34E+00,50,37.5,6.25,0,6.25,0,0,-2.40995,-2.54507
15.93388,16.0767,1.008963291,2731.74,0.72326,1.348872427,2.18E+00,56.06060606,36.36363636,7.575757576,0,0,0,0,-2.4937,-2.75435
15.87921,16.17243,1.018465654,1425.81,0.62994,0.807050449,2.37E+00,56.52173913,26.08695652,4.347826087,8.695652174,4.347826087,0,0,-2.10744,-2.28479
35.2441,35.39294,1.004223118,1897.75,0.79356,1.881307594,1.24E+00,53.57142857,32.14285714,3.571428571,7.142857143,3.571428571,0,0,-1.6255,-1.78486
32.73607,32.90312,1.005102934,1910.99,0.78096,1.758720865,1.36E+00,51.61290323,35.48387097,3.225806452,6.451612903,3.225806452,0,0,-1.76168,-1.90787
8.53533,9.02441,1.057300655,928.833,0.4902,0.470400829,3.58E+00,50,28.57142857,7.142857143,7.142857143,7.142857143,0,0,-2.25406,-2.27222
8.54051,9.02697,1.056959128,907.124,0.48356,0.462515543,3.59E+00,50,28.57142857,7.142857143,7.142857143,7.142857143,0,0,-2.29363,-2.59334
10.6911,11.33366,1.060102328,1450.41,0.57354,0.725232539,2.81E+00,47.6635514,47.6635514,3.738317757,0,0.934579439,0,0,-2.11545,-2.41118
34.44668,34.61497,1.004885522,1924.91,0.79376,1.888205377,1.25E+00,55.17241379,34.48275862,0,6.896551724,3.448275862,0,0,-1.79633,-1.76982
22.28222,22.52993,1.011116935,1811.83,0.73536,1.246563035,1.77E+00,57.14285714,28.57142857,7.142857143,0,0,0,7.142857143,-1.97308,-1.99065
29.34631,29.53268,1.006350713,1927.96,0.77516,1.619505265,1.46E+00,57.89473684,31.57894737,5.263157895,0,0,0,5.263157895,-1.87401,-2.01533
14.50589,14.87005,1.025104285,1498.63,0.64632,0.857789009,2.36E+00,59.09090909,31.81818182,4.545454545,0,0,0,4.545454545,-2.13727,-2.44787
15.39744,15.74056,1.022284224,1641.19,0.67062,0.953700135,2.11E+00,57.14285714,28.57142857,9.523809524,0,0,0,4.761904762,-2.14942,-2.50262
34.82461,34.97956,1.00444944,1866.35,0.79366,1.854267811,1.22E+00,56.52173913,26.08695652,0,13.04347826,4.347826087,0,0,-1.72525,-1.82153
15.76522,16.06665,1.019119936,2164.64,0.71522,1.236452904,1.92E+00,48.7804878,34.14634146,14.63414634,0,0,0,2.43902439,-2.54962,-2.47962
7.84341,8.45883,1.078463321,1393.3,0.56732,0.674128999,3.67E+00,58.69565217,34.7826087,6.52173913,0,0,0,0,-2.55251,-2.75636
7.98521,9.86309,1.23516977,3946.15,0.72614,1.378795704,2.95E+00,51.2605042,42.01680672,3.361344538,3.361344538,0,0,0,-2.79348,-2.7561
18.49772,23.03655,1.245372403,8580.7,0.9386,8.084131468,6.38E-01,53.4591195,41.50943396,2.51572327,2.51572327,0,0,0,-1.82973,-1.85862
5.02763,5.77387,1.148427788,1101.82,0.57018,0.685670169,4.80E+00,52.63157895,40.35087719,3.50877193,3.50877193,0,0,0,-3.2158,-3.39448
23.44472,23.68264,1.010148127,1927.91,0.73568,1.376932709,1.59E+00,52.94117647,35.29411765,5.882352941,5.882352941,0,0,0,-1.90021,-2.04519
21.65111,21.90241,1.011606795,1667.04,0.69412,1.155734047,1.80E+00,50,40,5,5,0,0,0,-1.83637,-1.95987
14.56137,14.80414,1.016672195,1601.61,0.65458,0.910047673,2.12E+00,50,33.33333333,8.333333333,8.333333333,0,0,0,-2.13641,-2.2982
10.9469,11.39779,1.04118883,1390.45,0.58732,0.706685549,2.77E+00,55,35,5,5,0,0,0,-2.08733,-2.28142
7.16556,9.34656,1.304372582,4266.05,0.7499,1.536220721,3.81E+00,56.60377358,35.8490566,5.031446541,2.51572327,0,0,0,-2.5817,-2.60302
18.84768,19.35841,1.027097765,2221.59,0.75284,1.44197913,1.65E+00,56.25,31.25,3.125,0,0,9.375,0,-2.13722,-2.10848
18.58985,19.00793,1.022489692,1891.19,0.72758,1.23595582,1.59E+00,54.83870968,29.03225806,6.451612903,0,0,9.677419355,0,-2.17899,-2.23018
31.34049,31.52027,1.005736349,1938.68,0.7794,1.744560838,1.31E+00,57.14285714,28.57142857,0,9.523809524,4.761904762,0,0,-1.82137,-1.89849
8.50466,9.68318,1.138573441,5308.23,0.79852,2.054144715,2.05E+00,48.97959184,32.65306122,0,8.163265306,10.20408163,0,0,-2.45743,-2.5363
19.05082,27.47264,1.44207126,6351.38,0.9169,5.434318769,9.09E-01,63.63636364,20.77922078,0,10.38961039,5.194805195,0,0,-1.99519,-2.01271
24.20917,24.5783,1.015247528,2109.22,0.73274,1.349409217,2.12E+00,56.75675676,32.43243243,0,10.81081081,0,0,0,-2.17068,-2.19401
37.54961,37.74057,1.005085539,2647.6,0.83454,2.741950322,9.74E-01,57.69230769,38.46153846,3.846153846,0,0,0,0,-1.73298,-2.04096
34.3979,34.55962,1.00470145,2449.5,0.82182,2.35222394,1.12E+00,57.69230769,34.61538462,0,7.692307692,0,0,0,-1.76071,-2.07471
55.44839,55.49799,1.000894526,2371.05,0.86226,3.284061868,7.98E-01,57.14285714,38.7755102,0,4.081632653,0,0,0,-1.43726,-1.60889
9.79296,10.47702,1.06985222,1277.65,0.58932,0.731431238,2.75E+00,43.75,37.5,0,12.5,6.25,0,0,-2.37606,-2.49446
12.22497,12.7233,1.04076329,1965.68,0.6377,0.86488202,2.83E+00,46.15384615,30.76923077,0,15.38461538,7.692307692,0,0,-2.24066,-2.56054
13.70357,14.0752,1.027119211,1601.26,0.63478,0.789035688,2.80E+00,50,20,0,20,10,0,0,-2.3093,-2.42479
27.14113,34.56119,1.273388028,7623.71,0.90746,5.158807311,1.03E+00,57.63546798,38.42364532,3.9408867,0,0,0,0,-2.06138,-2.02887
5.40897,9.86824,1.824421285,4214.86,0.72396,1.3867345,2.87E+00,39.48339483,44.2804428,0,8.856088561,7.380073801,0,0,-2.73362,-2.77066
9.26179,9.35855,1.010447225,3254.74,0.72776,1.334558304,3.32E+00,56.16438356,38.35616438,5.479452055,0,0,0,0,-2.79969,-2.81981
4.33795,4.58342,1.056586637,399.366,0.46242,0.443793967,5.87E+00,56.16438356,38.35616438,5.479452055,0,0,0,0,-2.63078,-2.79095
8.87996,8.97856,1.011103654,1869.59,0.62822,0.854392118,3.67E+00,56.16438356,38.35616438,5.479452055,0,0,0,0,-2.36878,-2.55578
4.09217,4.35137,1.063340477,258.579,0.43584,0.390852838,6.60E+00,56.16438356,38.35616438,5.479452055,0,0,0,0,-2.5411,-2.61806
12.74558,13.0458,1.023554832,1134.58,0.5562,0.487980347,3.73E+00,66.66666667,13.33333333,6.666666667,13.33333333,0,0,0,-2.16988,-2.31273
12.78481,13.08945,1.023828277,1111.54,0.59634,0.565395883,3.36E+00,64.28571429,14.28571429,7.142857143,14.28571429,0,0,0,-2.11443,-2.43446
8.28768,8.45131,1.019743764,1791.81,0.62786,0.894782596,2.76E+00,56.98924731,38.70967742,4.301075269,0,0,0,0,-2.39995,-2.72595
18.69066,20.45335,1.094308601,3980.38,0.81322,2.247836386,2.36E+00,56.60377358,35.8490566,7.547169811,0,0,0,0,-2.5506,-2.46931
23.14657,23.37377,1.009815709,2027.01,0.74468,1.469098198,1.57E+00,50,37.5,6.25,6.25,0,0,0,-1.95852,-2.17792
16.8085,17.19339,1.022898533,2642.36,0.72696,1.29790877,2.19E+00,40.90909091,40.90909091,9.090909091,9.090909091,0,0,0,-2.1222,-2.05405
32.26851,32.49748,1.007095772,2597.35,0.82036,2.358488125,9.64E-01,46.875,40.625,6.25,6.25,0,0,0,-1.84986,-2.08964
21.98706,22.24941,1.011932018,1742.73,0.7308,1.202762997,1.83E+00,55.55555556,27.77777778,5.555555556,11.11111111,0,0,0,-2.04584,-2.21862
23.64538,23.86875,1.009446666,1697.67,0.72312,1.244464943,1.71E+00,56.25,25,0,12.5,6.25,0,0,-1.98582,-2.03478
8.56216,9.14896,1.068534108,1114.65,0.53162,0.533721261,3.62E+00,57.14285714,21.42857143,0,14.28571429,7.142857143,0,0,-2.45134,-2.92183
24.14836,24.38426,1.009768779,1743.58,0.73324,1.341876072,1.63E+00,57.14285714,30.15873016,3.174603175,6.349206349,3.174603175,0,0,-1.93972,-2.34921
16.21639,16.54198,1.020077835,1595.7,0.65038,0.931708428,2.13E+00,58.33333333,29.16666667,0,8.333333333,4.166666667,0,0,-2.1163,-2.42514
17.28794,17.6262,1.019566241,1612.52,0.67756,0.93337466,2.67E+00,62.22222222,28.88888889,4.444444444,0,0,0,4.444444444,-2.09087,-2.41445
25.30476,25.68704,1.015107039,2252.6,0.7401,1.451680289,2.15E+00,56.75675676,37.83783784,5.405405405,0,0,0,0,-2.19946,-1.90992
25.21035,25.45912,1.009867773,2597.93,0.79384,1.942097203,1.21E+00,46.66666667,33.33333333,13.33333333,6.666666667,0,0,0,-1.97832,-2.17594
10.98125,12.52501,1.140581446,5102.7,0.75934,1.646030053,2.96E+00,56.52173913,38.04347826,5.434782609,0,0,0,0,-2.61796,-2.6294
10.12633,11.59954,1.145483112,3831.24,0.71288,1.315910429,3.06E+00,55.55555556,37.5,6.944444444,0,0,0,0,-3.0144,-2.97538
31.98616,32.11213,1.003938266,2477.4,0.77316,1.790298267,1.66E+00,57.44680851,38.29787234,4.255319149,0,0,0,0,-2.00897,-2.05785
21.24887,21.39035,1.006658236,1375.09,0.62376,0.827330448,2.33E+00,54.05405405,35.13513514,5.405405405,5.405405405,0,0,0,-1.96363,-2.46586
16.83337,17.12286,1.017197388,2390.91,0.70752,1.356556151,1.78E+00,54.54545455,36.36363636,9.090909091,0,0,0,0,-1.99329,-2.30863
24.86871,25.35566,1.019580831,3444.92,0.8318,2.48857136,1.43E+00,53.04878049,38.41463415,4.87804878,0,0,0,3.658536585,-2.50175,-2.39679
9.65747,11.09613,1.148968622,2283.27,0.67046,1.078190783,2.57E+00,53.19148936,42.55319149,4.255319149,0,0,0,0,-2.4983,-2.6796
14.64627,14.87352,1.015515896,2607.7,0.72348,1.407127048,2.07E+00,59.09090909,38.63636364,2.272727273,0,0,0,0,-2.30401,-2.48935
26.94167,27.1243,1.006778719,1677.46,0.75146,1.348856328,1.36E+00,55,25,10,0,0,10,0,-1.75742,-1.93436
9.7242,10.56229,1.08618601,782.175,0.5707,0.525777565,2.94E+00,38.23529412,23.52941176,5.882352941,5.882352941,0,26.47058824,0,-2.32578,-2.3026
23.89316,24.1474,1.010640702,2102,0.70558,1.275039349,1.96E+00,56.09756098,37.80487805,6.097560976,0,0,0,0,-2.04272,-2.21158
16.82414,17.17805,1.021035845,1684.24,0.59818,0.770020957,2.68E+00,52.27272727,38.63636364,4.545454545,4.545454545,0,0,0,-2.16215,-2.34702
9.74184,10.18081,1.045060276,1301.04,0.57538,0.611191546,2.99E+00,42.85714286,28.57142857,14.28571429,14.28571429,0,0,0,-2.29582,-2.53572
13.58509,14.58188,1.073373824,2747.7,0.70796,1.311020042,2.48E+00,44.82758621,48.27586207,3.448275862,3.448275862,0,0,0,-2.74649,-2.8082
21.34032,21.55177,1.009908474,1674.5,0.70852,1.134383416,1.65E+00,40,35,10,15,0,0,0,-1.85313,-1.99658
9.06841,9.51608,1.049365876,600.981,0.48302,0.484334969,3.08E+00,55.07246377,37.68115942,7.246376812,0,0,0,0,-2.66377,-2.7952
15.60159,15.98839,1.024792345,2205.43,0.70816,1.237451356,1.93E+00,54.54545455,36.36363636,9.090909091,0,0,0,0,-2.32622,-2.12459
8.40883,9.02368,1.073119566,482.236,0.52898,0.574896401,4.79E+00,37.5,46.875,6.25,6.25,0,0,3.125,-2.4162,-2.49974
10.67786,11.16226,1.045364895,1488.03,0.59456,0.761673437,2.52E+00,61.9047619,33.33333333,4.761904762,0,0,0,0,-2.21334,-2.31742
35.49808,35.70981,1.005964548,2538.44,0.83738,2.619677773,9.92E-01,50.94339623,37.73584906,7.547169811,3.773584906,0,0,0,-1.72075,-1.88881
11.24578,11.69348,1.039810489,1860.91,0.61976,0.843756169,2.56E+00,57.14285714,35.71428571,7.142857143,0,0,0,0,-2.30075,-2.41084
22.83776,23.86923,1.045165113,6014.09,0.8601,2.97218565,1.92E+00,54.23728814,30.50847458,0,10.16949153,5.084745763,0,0,-2.26213,-2.22672
25.24971,25.75548,1.020030725,3913,0.84754,2.831324496,1.40E+00,54.375,36.875,5,0,0,0,3.75,-2.42023,-2.4829
23.81541,24.06097,1.010310971,1831.5,0.72056,1.36827054,1.37E+00,61.11111111,33.33333333,5.555555556,0,0,0,0,-1.88086,-1.88313
32.05739,32.23268,1.005468006,1966.39,0.77422,1.842222984,1.08E+00,60.86956522,34.7826087,4.347826087,0,0,0,0,-1.81992,-1.9527
16.88399,17.68947,1.047706733,4042.07,0.81256,2.418175,1.52E+00,41.83673469,51.02040816,5.102040816,2.040816327,0,0,0,-2.42383,-2.62813
38.02857,38.18266,1.004051954,2421.47,0.82272,2.469681324,9.62E-01,57.69230769,38.46153846,3.846153846,0,0,0,0,-1.79418,-2.07439
38.73241,38.88744,1.004002591,2573.21,0.84332,2.69574279,9.83E-01,52.72727273,34.54545455,9.090909091,3.636363636,0,0,0,-1.73572,-1.77855
37.56498,37.65744,1.002461335,3106.64,0.85454,3.028994754,9.90E-01,53.84615385,34.61538462,7.692307692,3.846153846,0,0,0,-1.87207,-1.88463
26.35383,26.54457,1.007237658,2082.13,0.76606,1.616917628,1.26E+00,51.35135135,29.72972973,13.51351351,5.405405405,0,0,0,-1.8332,-2.03584
25.82277,26.05323,1.008924682,2077.82,0.77472,1.555653279,1.59E+00,50,33.33333333,11.11111111,5.555555556,0,0,0,-2.03188,-2.22586
38.80415,38.87485,1.00182197,2607.72,0.80212,2.147841501,1.42E+00,57.89473684,38.59649123,3.50877193,0,0,0,0,-1.84445,-2.16429
12.63935,13.00429,1.02887332,1699.8,0.64652,0.883768551,2.20E+00,52,28,12,8,0,0,0,-2.14936,-2.25423
38.96494,39.10948,1.003709489,2611.01,0.83528,2.677703012,9.70E-01,54.16666667,37.5,8.333333333,0,0,0,0,-1.73673,-1.78836
25.97265,26.20447,1.008925543,2379.75,0.76662,1.787338809,1.39E+00,56,40,4,0,0,0,0,-1.83502,-2.05275
21.23186,21.48053,1.011712116,2260.29,0.773,1.69902059,1.36E+00,53.06122449,36.73469388,7.142857143,3.06122449,0,0,0,-2.00318,-2.16953
23.07162,23.97144,1.039001162,5034.96,0.85508,2.962198265,2.26E+00,52.45901639,34.42622951,9.836065574,3.278688525,0,0,0,-2.42243,-2.41486
10.6711,11.55953,1.083255709,1045.28,0.57244,0.679448361,3.90E+00,54.54545455,39.39393939,6.060606061,0,0,0,0,-2.63088,-2.56153
18.67205,18.83659,1.008812102,1507.46,0.65308,0.90734036,2.17E+00,52.63157895,31.57894737,0,10.52631579,5.263157895,0,0,-2.10072,-2.29386
8.40705,8.94082,1.063490761,993.066,0.5077,0.498023405,3.58E+00,57.14285714,28.57142857,14.28571429,0,0,0,0,-2.31927,-2.50355
10.55911,10.99477,1.041259159,1241.18,0.55678,0.615227199,2.75E+00,60,30,10,0,0,0,0,-2.35557,-2.56659
6.02452,6.73972,1.118714852,1007.55,0.52324,0.507084294,4.63E+00,50,25,25,0,0,0,0,-2.60147,-2.72763
21.99696,22.25586,1.011769808,1733.44,0.72906,1.193368755,1.84E+00,55.55555556,27.77777778,5.555555556,11.11111111,0,0,0,-2.09835,-2.2426
14.85314,15.16267,1.020839365,1485.39,0.64318,0.815418378,2.26E+00,50,25,8.333333333,16.66666667,0,0,0,-2.16547,-2.21401
15.82205,16.14031,1.020114966,1634.8,0.66114,0.936903488,2.08E+00,50,33.33333333,8.333333333,8.333333333,0,0,0,-2.1976,-2.40213
19.03653,19.28003,1.012791197,1547.81,0.69218,1.002070214,2.09E+00,54.54545455,18.18181818,6.060606061,12.12121212,6.060606061,0,3.03030303,-2.05084,-2.00814
21.82001,22.09147,1.012440874,1891.18,0.73434,1.317397927,1.62E+00,55.55555556,33.33333333,5.555555556,5.555555556,0,0,0,-2.05748,-1.89857
21.37753,30.82847,1.442096912,6958.99,0.93212,6.936294025,7.35E-01,61.29032258,25.80645161,0,8.602150538,4.301075269,0,0,-1.87549,-1.93602
27.50721,27.70127,1.007054878,1782.77,0.74908,1.424027953,1.49E+00,61.11111111,22.22222222,0,11.11111111,5.555555556,0,0,-1.93736,-2.16828
30.33059,30.47384,1.004722955,1932.9,0.78676,1.672306489,1.87E+00,54.54545455,36.36363636,4.545454545,4.545454545,0,0,0,-1.70781,-1.97739
28.94654,29.02379,1.002668713,2148.74,0.78628,1.856702292,1.15E+00,54.54545455,36.36363636,4.545454545,4.545454545,0,0,0,-2.21274,-2.22499
29.44973,29.61979,1.005774586,2207.3,0.78594,1.877606991,1.16E+00,54.54545455,36.36363636,4.545454545,4.545454545,0,0,0,-1.88374,-1.83408
19.00554,19.13609,1.00686905,1806.59,0.71216,1.202402238,1.91E+00,54.54545455,34.54545455,7.272727273,3.636363636,0,0,0,-2.09545,-2.42924
17.50947,17.74285,1.013328787,1762.18,0.70666,1.103540681,2.15E+00,54.54545455,34.54545455,7.272727273,3.636363636,0,0,0,-2.43446,-2.51939
17.39891,18.46813,1.061453275,4307.16,0.82422,2.346914659,2.71E+00,53.57142857,35.71428571,7.142857143,3.571428571,0,0,0,-2.53529,-2.4815
28.83791,28.97733,1.004834608,2055.84,0.78488,1.808579276,1.08E+00,52.38095238,33.33333333,9.523809524,4.761904762,0,0,0,-1.81328,-1.95925
14.17588,16.11614,1.136870515,7251.58,0.90082,4.713817752,1.01E+00,46.34146341,39.02439024,4.87804878,4.87804878,4.87804878,0,0,-2.06972,-2.08088
14.1657,16.1092,1.137197597,6615.93,0.89698,4.233374079,1.04E+00,46.34146341,34.14634146,4.87804878,4.87804878,4.87804878,4.87804878,0,-2.10965,-1.99621
14.61444,15.22203,1.041574634,2323.71,0.7196,1.318110464,1.90E+00,52.45901639,37.70491803,6.557377049,3.278688525,0,0,0,-2.21103,-2.10649
16.38611,16.51752,1.008019597,1837.52,0.6725,1.03814668,2.12E+00,52.45901639,37.70491803,6.557377049,3.278688525,0,0,0,-2.13291,-2.30097
25.51863,25.62215,1.004056644,1965.11,0.74186,1.504387272,1.46E+00,50,41.56626506,4.21686747,4.21686747,0,0,0,-1.78748,-2.09159
24.38004,24.50349,1.005063568,1916.35,0.73354,1.436145427,1.50E+00,50,40.36144578,4.21686747,5.421686747,0,0,0,-1.82723,-2.06807
23.23817,23.31082,1.003126322,1877.56,0.73106,1.414097257,1.51E+00,49.70414201,40.82840237,4.142011834,5.325443787,0,0,0,-1.81221,-2.08402
23.9675,24.14077,1.007229373,1831.45,0.72804,1.404590521,1.46E+00,48.87640449,42.69662921,4.494382022,3.93258427,0,0,0,-1.84057,-2.06158
20.81745,20.94699,1.006222664,1447.82,0.68052,1.106097743,1.53E+00,46.22641509,44.33962264,3.773584906,5.660377358,0,0,0,-1.77311,-1.97256
19.26829,19.382,1.005901406,1464.14,0.67458,1.066905802,1.53E+00,45.87155963,43.11926606,3.669724771,7.339449541,0,0,0,-1.77053,-2.08217
39.68397,39.9305,1.006212332,2621.58,0.79732,2.107377619,1.30E+00,56.66666667,40,3.333333333,0,0,0,0,-1.95702,-1.8134
17.39813,17.54485,1.00843309,1499.4,0.68054,0.945942001,2.15E+00,57.69230769,27.88461538,8.653846154,5.769230769,0,0,0,-2.10122,-2.1834
42.80809,42.93816,1.003038444,1829.24,0.81612,2.084086661,1.07E+00,57.57575758,24.24242424,3.03030303,12.12121212,3.03030303,0,0,-1.81834,-1.68262
43.28884,43.42187,1.003073078,1934.87,0.82484,2.213687807,1.02E+00,56.66666667,23.33333333,3.333333333,13.33333333,3.333333333,0,0,-1.75454,-1.70439
