PLD (Å),LCD (Å),LCD/PLD,Sacc (m2/g),Porosity,Pore Volume (cm3/g),Qst-O2 (kJ/mol),%C,%H,%N,%O,%Metalloid,%Halogen,%Ametal,LOG(DO2 - INF),LOG(DO2 - 1 bar)
19.51272,19.719,1.010571566,2405.1,0.76344,1.66798849,5.07E+00,48.38709677,41.93548387,3.225806452,6.451612903,0,0,0,-2.82194,-2.94752
16.31454,16.86472,1.033723292,2499.71,0.74488,1.532328074,5.65E+00,46.37681159,43.47826087,2.898550725,7.246376812,0,0,0,-2.93847,-2.90582
13.20303,13.63705,1.032872757,2253.71,0.70456,1.239839723,6.04E+00,44.73684211,44.73684211,2.631578947,7.894736842,0,0,0,-3.00042,-3.03862
7.29541,8.24978,1.13081787,1446.3,0.55752,0.673967416,1.01E+01,59.3220339,37.28813559,3.389830508,0,0,0,0,-4.06836,-4.11047
9.76618,9.97178,1.021052244,1362.67,0.54978,0.659625447,9.48E+00,55.88235294,41.17647059,2.941176471,0,0,0,0,-3.15072,-3.33587
7.64416,11.5101,1.505737713,7808.9,0.83824,2.722619202,4.56E+00,54.71698113,37.73584906,7.547169811,0,0,0,0,-3.11233,-3.18871
5.7532,6.34336,1.102579434,7366.96,0.76046,1.646658871,8.24E+00,54.71698113,37.73584906,7.547169811,0,0,0,0,-3.34093,-3.38081
4.72002,7.67734,1.626548193,2271.83,0.6805,1.105138366,1.24E+01,54.71698113,37.73584906,7.547169811,0,0,0,0,-3.98057,-3.8936
12.10114,14.32155,1.183487671,5208.58,0.87284,2.753464544,6.06E+00,54.71698113,37.73584906,7.547169811,0,0,0,0,-3.07072,-3.10057
6.98122,7.53693,1.0796007,3097.61,0.71624,1.422482791,9.90E+00,56.16438356,38.35616438,5.479452055,0,0,0,0,-3.72825,-3.76828
9.94781,10.00281,1.005528855,1750.28,0.6094,0.916098928,6.49E+00,57.52212389,38.9380531,3.539823009,0,0,0,0,-3.04045,-3.05033
6.35265,7.06143,1.111572336,1919.39,0.60348,0.787718751,9.42E+00,54.63917526,37.11340206,4.12371134,4.12371134,0,0,0,-3.48621,-3.39932
13.66038,16.30857,1.193859175,6103.73,0.83908,2.691515638,5.88E+00,57.48031496,36.22047244,6.299212598,0,0,0,0,-3.22455,-3.19216
12.29168,13.46817,1.095714337,7323.52,0.85572,3.058261796,4.77E+00,60,36.52173913,3.47826087,0,0,0,0,-2.97519,-3.00728
4.40763,5.97729,1.356123359,426.484,0.4716,0.49400666,1.32E+01,58.51851852,38.51851852,2.962962963,0,0,0,0,-3.55876,-3.72286
23.92012,24.32238,1.016816805,2336.97,0.7301,1.3975078,7.06E+00,56.75675676,37.83783784,5.405405405,0,0,0,0,-3.10939,-3.15098
24.67918,25.26263,1.023641385,3204.67,0.78698,2.015318861,6.28E+00,56.75675676,37.83783784,5.405405405,0,0,0,0,-2.9085,-2.98067
24.5031,27.99964,1.142697863,7999.61,0.91452,5.536639706,2.87E+00,53.84615385,35.8974359,5.128205128,5.128205128,0,0,0,-2.8359,-2.86773
32.02224,34.88694,1.089459701,8240.71,0.9303,6.874713646,2.59E+00,57.44680851,38.29787234,4.255319149,0,0,0,0,-2.67092,-2.68654
38.93275,41.51063,1.066213663,8717.54,0.93942,8.248485381,2.25E+00,57.89473684,38.59649123,3.50877193,0,0,0,0,-2.58265,-2.61923
27.22939,27.58431,1.013034446,2220.86,0.7517,1.425807553,7.03E+00,56.75675676,32.43243243,5.405405405,0,0,0,5.405405405,-3.00253,-3.12391
18.07182,18.53359,1.025551937,1954.44,0.70566,1.238310664,5.87E+00,58,36,6,0,0,0,0,-2.98565,-3.16854
9.97193,10.44945,1.047886417,1823.55,0.62708,0.836586309,7.48E+00,50,33.33333333,16.66666667,0,0,0,0,-3.22516,-3.26459
9.29839,9.76611,1.050301181,1544.51,0.59258,0.7100457,8.16E+00,50,33.33333333,16.66666667,0,0,0,0,-3.13576,-3.12497
29.11056,29.29453,1.0063197,1870.34,0.7632,1.589910568,4.82E+00,61.11111111,22.22222222,0,11.11111111,5.555555556,0,0,-2.81976,-3.12949
29.68302,29.86296,1.006062052,2071.6,0.78602,1.819983653,4.08E+00,52.38095238,33.33333333,9.523809524,4.761904762,0,0,0,-2.62326,-3.05355
12.07344,12.33825,1.021933268,3298.03,0.75084,1.499607542,7.96E+00,52.38095238,33.33333333,9.523809524,4.761904762,0,0,0,-3.73541,-3.73621
10.1596,10.5606,1.039470058,1305.72,0.57934,0.614994947,7.98E+00,42.85714286,28.57142857,14.28571429,14.28571429,0,0,0,-3.05414,-3.11005
31.67982,31.93506,1.008056864,2448.75,0.82536,2.227211398,4.42E+00,54.54545455,27.27272727,4.545454545,9.090909091,4.545454545,0,0,-2.84908,-2.95325
