PLD (Å),LCD (Å),LCD/PLD,Sacc (m2/g),Porosity,Pore Volume (cm3/g),Qst-CO2 (kJ/mol),%C,%H,%N,%O,%Metalloid,%Halogen,%Ametal,LOG(DCO2 - INF),LOG(DCO2 - 1 bar)
23.42764,23.68646,1.011047634,1782.64,0.72634,1.207527722,1.88E+01,50,30.76923077,0,11.53846154,3.846153846,0,3.846153846,-3.9173,-4.0314
7.49194,8.42477,1.124511141,5204.86,0.77266,1.765232688,1.05E+01,47.82608696,43.47826087,8.695652174,0,0,0,0,-3.3723,-3.4491
7.37376,8.49886,1.152581587,4304.48,0.7488,1.435516771,1.28E+01,44,40,8,8,0,0,0,-3.5302,-3.6176
31.32681,31.50293,1.005622022,2056.26,0.73294,1.433130111,1.14E+01,56.98924731,36.55913978,6.451612903,0,0,0,0,-3.5991,-3.6225
9.73082,11.35144,1.16654506,3488.17,0.71632,1.31935734,2.28E+01,56.98924731,36.55913978,6.451612903,0,0,0,0,-4.4201,-4.303
8.981,9.50439,1.058277475,1091.97,0.50322,0.557093134,1.40E+01,50,37.5,6.25,0,6.25,0,0,-3.2743,-3.4672
15.93388,16.0767,1.008963291,2731.74,0.72326,1.348872427,1.79E+01,56.06060606,36.36363636,7.575757576,0,0,0,0,-4.015,-3.9547
15.87921,16.17243,1.018465654,1425.81,0.62994,0.807050449,1.43E+01,56.52173913,26.08695652,4.347826087,8.695652174,4.347826087,0,0,-3.2463,-3.3361
35.2441,35.39294,1.004223118,1897.75,0.79356,1.881307594,1.21E+01,53.57142857,32.14285714,3.571428571,7.142857143,3.571428571,0,0,-3.5222,-3.4988
32.73607,32.90312,1.005102934,1910.99,0.78096,1.758720865,1.30E+01,51.61290323,35.48387097,3.225806452,6.451612903,3.225806452,0,0,-3.5576,-3.6483
8.53533,9.02441,1.057300655,928.833,0.4902,0.470400829,1.51E+01,50,28.57142857,7.142857143,7.142857143,7.142857143,0,0,-3.1382,-3.4365
8.54051,9.02697,1.056959128,907.124,0.48356,0.462515543,1.52E+01,50,28.57142857,7.142857143,7.142857143,7.142857143,0,0,-3.2352,-3.5295
10.6911,11.33366,1.060102328,1450.41,0.57354,0.725232539,1.48E+01,47.6635514,47.6635514,3.738317757,0,0.934579439,0,0,-3.0721,-3.3054
34.44668,34.61497,1.004885522,1924.91,0.79376,1.888205377,1.23E+01,55.17241379,34.48275862,0,6.896551724,3.448275862,0,0,-3.5473,-3.6645
22.28222,22.52993,1.011116935,1811.83,0.73536,1.246563035,1.12E+01,57.14285714,28.57142857,7.142857143,0,0,0,7.142857143,-3.147,-3.2788
29.34631,29.53268,1.006350713,1927.96,0.77516,1.619505265,1.09E+01,57.89473684,31.57894737,5.263157895,0,0,0,5.263157895,-3.0938,-3.1404
14.50589,14.87005,1.025104285,1498.63,0.64632,0.857789009,1.19E+01,59.09090909,31.81818182,4.545454545,0,0,0,4.545454545,-3.284,-3.3538
15.39744,15.74056,1.022284224,1641.19,0.67062,0.953700135,1.11E+01,57.14285714,28.57142857,9.523809524,0,0,0,4.761904762,-3.2312,-3.3022
34.82461,34.97956,1.00444944,1866.35,0.79366,1.854267811,1.18E+01,56.52173913,26.08695652,0,13.04347826,4.347826087,0,0,-3.5065,-3.5622
15.76522,16.06665,1.019119936,2164.64,0.71522,1.236452904,1.27E+01,48.7804878,34.14634146,14.63414634,0,0,0,2.43902439,-3.6163,-3.6748
7.84341,8.45883,1.078463321,1393.3,0.56732,0.674128999,1.58E+01,58.69565217,34.7826087,6.52173913,0,0,0,0,-3.4603,-3.6591
7.98521,9.86309,1.23516977,3946.15,0.72614,1.378795704,1.56E+01,51.2605042,42.01680672,3.361344538,3.361344538,0,0,0,-3.8877,-3.9385
18.49772,23.03655,1.245372403,8580.7,0.9386,8.084131468,5.40E+00,53.4591195,41.50943396,2.51572327,2.51572327,0,0,0,-2.9347,-2.9965
